epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
121,4400.98,0.69775,0.48564,1.20617,0.03794,0.96944,0.97315,0.98456,0.83872,0.63134,0.38811,1.23039,0.01885,0.00604,0.00604,0.00604
122,4436.48,0.68393,0.46906,1.20445,0.04032,0.9853,0.96274,0.98336,0.83975,0.61048,0.4048,1.20965,0.01857,0.006007,0.006007,0.006007
123,4471.47,0.68135,0.48354,1.18926,0.04189,0.9726,0.97662,0.98506,0.83921,0.62869,0.40292,1.2194,0.01731,0.005974,0.005974,0.005974
124,4506.53,0.67845,0.48164,1.19329,0.03786,0.96876,0.97358,0.98204,0.83686,0.62324,0.40841,1.24918,0.02702,0.005941,0.005941,0.005941
125,4541.96,0.67763,0.47003,1.19835,0.03951,0.95457,0.96342,0.98701,0.84387,0.62785,0.42334,1.22296,0.01872,0.005908,0.005908,0.005908
126,4577.11,0.67271,0.46182,1.19831,0.03653,0.97166,0.97525,0.98622,0.84885,0.61679,0.39574,1.21443,0.02142,0.005875,0.005875,0.005875
127,4612.71,0.65292,0.46583,1.17132,0.0363,0.96979,0.97187,0.98848,0.84816,0.62933,0.39708,1.2487,0.01832,0.005842,0.005842,0.005842
128,4647.91,0.68812,0.47234,1.20601,0.0395,0.98175,0.98058,0.98358,0.84832,0.61155,0.39286,1.22577,0.02095,0.005809,0.005809,0.005809
129,4683.37,0.6713,0.46196,1.18615,0.04185,0.97854,0.97284,0.98488,0.84009,0.64254,0.4045,1.25598,0.01721,0.005776,0.005776,0.005776
130,4718.22,0.6684,0.46063,1.16227,0.03767,0.97514,0.97511,0.9858,0.82996,0.62212,0.40261,1.25167,0.01779,0.005743,0.005743,0.005743
131,4753.48,0.67327,0.47593,1.19261,0.0336,0.97073,0.97233,0.98505,0.84149,0.62306,0.39701,1.24888,0.01957,0.00571,0.00571,0.00571
132,4789.05,0.65242,0.45936,1.17273,0.03774,0.96876,0.97454,0.98841,0.84338,0.61419,0.39861,1.23285,0.0227,0.005677,0.005677,0.005677
133,4824.45,0.6621,0.46269,1.19004,0.03709,0.97082,0.98164,0.98961,0.84636,0.6223,0.38974,1.23142,0.02197,0.005644,0.005644,0.005644
134,4860.08,0.66369,0.46884,1.18041,0.03622,0.97726,0.97473,0.9855,0.84956,0.62334,0.39998,1.24015,0.01817,0.005611,0.005611,0.005611
135,4895.67,0.67588,0.48114,1.18595,0.04053,0.97236,0.96657,0.98959,0.85328,0.61683,0.39467,1.25171,0.02141,0.005578,0.005578,0.005578
136,4930.81,0.67154,0.46645,1.19977,0.03734,0.97155,0.97436,0.99135,0.85435,0.62296,0.39644,1.25428,0.01988,0.005545,0.005545,0.005545
137,4966.15,0.65768,0.46751,1.17675,0.03673,0.98616,0.97229,0.98498,0.85209,0.60249,0.39515,1.21017,0.01893,0.005512,0.005512,0.005512
138,5001.21,0.647,0.4483,1.15978,0.03757,0.97032,0.97532,0.98501,0.84682,0.6069,0.40773,1.189,0.02116,0.005479,0.005479,0.005479
139,5036,0.65589,0.46309,1.18681,0.03814,0.99011,0.97238,0.98449,0.84521,0.60803,0.40656,1.21888,0.01771,0.005446,0.005446,0.005446
140,5071.1,0.6515,0.44958,1.16663,0.03542,0.97071,0.97412,0.9857,0.83715,0.62653,0.41032,1.24942,0.02344,0.005413,0.005413,0.005413
141,5106.36,0.6686,0.46137,1.17958,0.03601,0.96711,0.96862,0.98408,0.84764,0.61842,0.42425,1.24755,0.02004,0.00538,0.00538,0.00538
142,5142.11,0.65375,0.4544,1.1669,0.03579,0.98141,0.97576,0.9865,0.85187,0.60701,0.41273,1.24434,0.02071,0.005347,0.005347,0.005347
143,5177.66,0.65659,0.46564,1.17869,0.03823,0.96557,0.96928,0.98221,0.85043,0.60134,0.41319,1.22901,0.02217,0.005314,0.005314,0.005314
144,5213.41,0.66137,0.45122,1.18013,0.03735,0.98361,0.97385,0.98608,0.84471,0.60572,0.39922,1.2395,0.02171,0.005281,0.005281,0.005281
145,5248.72,0.65023,0.45466,1.18084,0.03333,0.96633,0.97262,0.9856,0.84415,0.59849,0.39709,1.23344,0.02243,0.005248,0.005248,0.005248
146,5283.97,0.64374,0.44832,1.17426,0.03302,0.98424,0.97606,0.98671,0.85013,0.60151,0.39719,1.21634,0.02362,0.005215,0.005215,0.005215
147,5318.81,0.6704,0.46492,1.19548,0.03957,0.97788,0.97639,0.98593,0.84307,0.60203,0.39687,1.20371,0.0174,0.005182,0.005182,0.005182
148,5354.03,0.64206,0.44882,1.14778,0.03481,0.9754,0.96957,0.9847,0.85036,0.59684,0.39396,1.20263,0.01943,0.005149,0.005149,0.005149
149,5389.46,0.63574,0.44909,1.17461,0.03843,0.98949,0.97462,0.98468,0.85119,0.61054,0.39824,1.25716,0.01921,0.005116,0.005116,0.005116
150,5425.07,0.64147,0.4482,1.17207,0.03735,0.97986,0.97269,0.98665,0.85253,0.62416,0.39976,1.25505,0.01907,0.005083,0.005083,0.005083
151,5460.63,0.64035,0.4368,1.17623,0.03424,0.9833,0.96746,0.98804,0.85578,0.60597,0.39388,1.22682,0.02001,0.00505,0.00505,0.00505
152,5496.2,0.63513,0.44125,1.15664,0.03268,0.98468,0.96728,0.98503,0.85845,0.59666,0.40177,1.21385,0.02115,0.005017,0.005017,0.005017
153,5531.53,0.63945,0.4492,1.16056,0.03503,0.97971,0.97648,0.98659,0.84717,0.6002,0.38961,1.23802,0.01925,0.004984,0.004984,0.004984
